,bpd,committee_size,extension,latency,minerblocksize
0,73.0,4.0,syncorazor,5.0,10.0
1,71.0,4.0,syncorazor,5.0,10.0
2,71.0,4.0,syncorazor,5.0,10.0
3,72.0,4.0,syncorazor,5.0,10.0
4,71.0,4.0,syncorazor,5.0,10.0
5,71.0,4.0,syncorazor,5.0,10.0
6,71.0,4.0,syncorazor,5.0,10.0
7,71.0,4.0,syncorazor,5.0,10.0
8,71.0,4.0,syncorazor,5.0,10.0
9,71.0,4.0,syncorazor,5.0,10.0
10,76.0,4.0,syncorazor,5.0,10.0
11,87.0,4.0,syncorazor,5.0,10.0
12,70.0,4.0,syncorazor,5.0,10.0
13,77.0,4.0,syncorazor,5.0,10.0
14,87.0,4.0,syncorazor,5.0,10.0
15,70.0,4.0,syncorazor,5.0,10.0
16,77.0,4.0,syncorazor,5.0,10.0
17,88.0,4.0,syncorazor,5.0,10.0
18,70.0,4.0,syncorazor,5.0,10.0
19,76.0,4.0,syncorazor,5.0,10.0
20,87.0,4.0,syncorazor,5.0,10.0
21,69.0,4.0,syncorazor,5.0,10.0
22,76.0,4.0,syncorazor,5.0,10.0
23,87.0,4.0,syncorazor,5.0,10.0
24,70.0,4.0,syncorazor,5.0,10.0
25,76.0,4.0,syncorazor,5.0,10.0
26,87.0,4.0,syncorazor,5.0,10.0
27,69.0,4.0,syncorazor,5.0,10.0
28,72.0,4.0,syncorazor,5.0,10.0
29,87.0,4.0,syncorazor,5.0,10.0
30,69.0,4.0,syncorazor,5.0,10.0
31,73.0,4.0,syncorazor,5.0,10.0
32,88.0,4.0,syncorazor,5.0,10.0
33,70.0,4.0,syncorazor,5.0,10.0
34,73.0,4.0,syncorazor,5.0,10.0
35,88.0,4.0,syncorazor,5.0,10.0
36,70.0,4.0,syncorazor,5.0,10.0
37,73.0,4.0,syncorazor,5.0,10.0
38,88.0,4.0,syncorazor,5.0,10.0
39,70.0,4.0,syncorazor,5.0,10.0
40,73.0,4.0,syncorazor,5.0,10.0
41,88.0,4.0,syncorazor,5.0,10.0
42,70.0,4.0,syncorazor,5.0,10.0
43,72.0,4.0,syncorazor,5.0,10.0
44,88.0,4.0,syncorazor,5.0,10.0
45,70.0,4.0,syncorazor,5.0,10.0
46,73.0,4.0,syncorazor,5.0,10.0
47,88.0,4.0,syncorazor,5.0,10.0
48,70.0,4.0,syncorazor,5.0,10.0
49,73.0,4.0,syncorazor,5.0,10.0
50,87.0,4.0,syncorazor,5.0,10.0
51,70.0,4.0,syncorazor,5.0,10.0
52,71.0,4.0,syncorazor,5.0,10.0
53,86.0,4.0,syncorazor,5.0,10.0
54,68.0,4.0,syncorazor,5.0,10.0
55,72.0,4.0,syncorazor,5.0,10.0
56,88.0,4.0,syncorazor,5.0,10.0
57,70.0,4.0,syncorazor,5.0,10.0
58,72.0,4.0,syncorazor,5.0,10.0
59,87.0,4.0,syncorazor,5.0,10.0
60,69.0,4.0,syncorazor,5.0,10.0
61,73.0,4.0,syncorazor,5.0,10.0
62,87.0,4.0,syncorazor,5.0,10.0
63,70.0,4.0,syncorazor,5.0,10.0
64,72.0,4.0,syncorazor,5.0,10.0
65,86.0,4.0,syncorazor,5.0,10.0
66,69.0,4.0,syncorazor,5.0,10.0
67,73.0,4.0,syncorazor,5.0,10.0
68,87.0,4.0,syncorazor,5.0,10.0
69,71.0,4.0,syncorazor,5.0,10.0
70,72.0,4.0,syncorazor,5.0,10.0
71,87.0,4.0,syncorazor,5.0,10.0
72,70.0,4.0,syncorazor,5.0,10.0
73,72.0,4.0,syncorazor,5.0,10.0
74,87.0,4.0,syncorazor,5.0,10.0
75,70.0,4.0,syncorazor,5.0,10.0
76,73.0,4.0,syncorazor,5.0,10.0
77,87.0,4.0,syncorazor,5.0,10.0
78,70.0,4.0,syncorazor,5.0,10.0
79,72.0,4.0,syncorazor,5.0,10.0
80,86.0,4.0,syncorazor,5.0,10.0
81,69.0,4.0,syncorazor,5.0,10.0
82,73.0,4.0,syncorazor,5.0,10.0
83,87.0,4.0,syncorazor,5.0,10.0
