committee_size,extension,latency,minerblocksize,recv,send
BTC,syncorazor,2.0,20.0,2252.905411018516,2290.9652243537384
BTC,syncorazor,2.0,40.0,1947.4449887772394,1989.7850271811228
BTC,syncorazor,2.0,80.0,1973.474868338688,2011.922502749274
BTC,syncorazor,2.0,160.0,3269.6835540807265,3398.0159850808977
BTC,psyncorazor,2.0,20.0,2252.905411018516,2290.9652243537384
BTC,psyncorazor,2.0,40.0,1947.4449887772394,1989.7850271811228
BTC,psyncorazor,2.0,80.0,1973.474868338688,2011.922502749274
BTC,psyncorazor,2.0,160.0,3269.6835540807265,3398.0159850808977

64,syncorazor,2.0,20.0,5576.8567144197,7442.7277355582
64,syncorazor,2.0,40.0,6556.9474090943795,7805.03772952641
64,syncorazor,2.0,80.0,45378.41711629091,50097.30730641741
64,syncorazor,2.0,160.0,269037.50947432726,290713.24369480246
128,syncorazor,2.0,20.0,250104.28797416147,271013.39126365323
128,syncorazor,2.0,40.0,245991.84523361974,266751.22269412794
128,syncorazor,2.0,80.0,268208.4773981768,290549.23133709794
128,syncorazor,2.0,160.0,243221.98965132222,263897.26581579726
256,syncorazor,2.0,20.0,219657.9962672989,241066.1953766258
256,syncorazor,2.0,40.0,266489.41699167766,292539.640218971
256,syncorazor,2.0,80.0,299215.5367214163,328069.9761546597
256,syncorazor,2.0,160.0,295458.35284318187,335279.90484538485
64,psyncorazor,2.0,20.0,269731.5599022974,296004.50965275837
64,psyncorazor,2.0,40.0,210027.31645875494,231307.00906033244
64,psyncorazor,2.0,80.0,247216.5653807403,271825.20752735366
64,psyncorazor,2.0,160.0,93830.97804082875,104233.59576601282
128,psyncorazor,2.0,20.0,283070.7540791458,310868.24285292573
128,psyncorazor,2.0,40.0,215161.97566602626,236159.590236355
128,psyncorazor,2.0,80.0,294939.11089550116,323991.33187842194
128,psyncorazor,2.0,160.0,107482.31390383923,119367.01711936707
256,psyncorazor,2.0,20.0,318486.85159754424,340913.6602951055
256,psyncorazor,2.0,40.0,324795.8501173498,362713.2083167568
256,psyncorazor,2.0,80.0,342084.6626527989,395599.31983693312
256,psyncorazor,2.0,160.0,341218.19653069053,395635.0947849892
