delete,add,name
0,45,.dockerignore
0,12,.gitignore
42,21,Dockerfile
5,5,blockchain/accept.go
0,1032,blockchain/address_list.go
10,39,blockchain/blockindex.go
2,32,blockchain/chain.go
0,21,blockchain/chainio.go
0,82,blockchain/committee.go
0,231,blockchain/ebft.go
1,50,blockchain/process.go
2,2,blockchain/weight.go
0,266,btcec/vrf.go
0,136,btcec/vrf_test.go
0,102,chaincfg/extension.go
0,5,chaincfg/params.go
2,66,config.go
0,137,evaluation/.gitignore
0,367,evaluation/analysis.ipynb
0,3,evaluation/aws/connect.sh
0,23,evaluation/aws/import-ssh-keys.sh
0,693,evaluation/aws/main.py
0,2,evaluation/aws/main.sh
0,0,evaluation/aws/nodes.txt
0,32,evaluation/aws/setup-instance.sh
0,0,tools/goclean.sh => goclean.sh
10,0,limits_plan9.go
52,0,limits_unix.go
10,0,limits_windows.go
3,228,mining/cpuminer/cpuminer.go
0,5,netsync/interface.go
14,164,netsync/manager.go
0,3,peer/log.go
1,9,peer/peer.go
0,66,rpcserver.go
1176,54,server.go
0,1164,serverpeer.go
0,345,tools/Btcd/btcd.conf
0,19,tools/Btcd/rpc.cert
0,7,tools/Btcd/rpc.key
0,19,tools/Btcwallet/rpc.cert
0,7,tools/Btcwallet/rpc.key
-,-,tools/Btcwallet/simnet/wallet.db
0,10,tools/README.md
0,6170,tools/address-list.json
0,1028,tools/address-list.txt
0,45,tools/docker-compose-psyncebft-4nodes.yml
0,45,tools/docker-compose-syncebft-4nodes.yml
0,22,tools/simulated-miner.sh
0,31,wire/common.go
0,4,wire/message.go
1,2,wire/msgblock.go
0,69,wire/msgvote.go
