,committee_size,extension,latency,mean,minerblocksize,std
0,64.0,syncebft,2.0,6079.195814742663,20.0,43.422133430643
1,64.0,syncebft,2.0,6070.474308300395,40.0,39.34579059022417
2,64.0,syncebft,2.0,6080.871980676328,80.0,45.529496837619966
3,64.0,syncebft,2.0,6078.589169977002,160.0,42.21524080644803
4,128.0,syncebft,2.0,6080.083037880201,20.0,43.70189659104805
5,128.0,syncebft,2.0,6083.205411059864,40.0,51.37136829121189
6,128.0,syncebft,2.0,6079.139503507825,80.0,45.49820120830233
7,128.0,syncebft,2.0,6080.970881513038,160.0,45.534807070481605
8,256.0,syncebft,2.0,6085.955889014723,20.0,50.98723589386272
9,256.0,syncebft,2.0,6087.7051766387585,40.0,64.65629048499149
10,256.0,syncebft,2.0,6083.150577149588,80.0,55.17375605436235
11,256.0,syncebft,2.0,6082.844165100758,160.0,46.27410257346904
12,64.0,psyncebft,2.0,522.0583033419023,20.0,68.64119513913684
13,64.0,psyncebft,2.0,510.0079688894556,40.0,65.8630402744909
14,64.0,psyncebft,2.0,541.4514520062071,80.0,157.23457725665355
15,64.0,psyncebft,2.0,488.6781479390175,160.0,75.38928725352638
16,128.0,psyncebft,2.0,662.2046214811384,20.0,105.24209634619908
17,128.0,psyncebft,2.0,657.9587777303755,40.0,114.95845794397901
18,128.0,psyncebft,2.0,668.5023540951447,80.0,134.70286399612803
19,128.0,psyncebft,2.0,635.025627948489,160.0,133.62826727422424
20,256.0,psyncebft,2.0,1067.424673152934,20.0,311.3639142624371
21,256.0,psyncebft,2.0,1173.971173980842,40.0,925.0892396092345
22,256.0,psyncebft,2.0,1029.3225296442688,80.0,269.4152904744402
23,256.0,psyncebft,2.0,1125.905825146373,160.0,322.3936876723148
