,committee_size,epoch_size,extension,latency,minerblocksize,tps,type,value

,64.0,4.0,psyncebft,0.025,40.0,80.0,latency,6599.984078872035
,64.0,4.0,psyncebft,0.025,80.0,160.0,latency,6702.599995370922
,64.0,4.0,psyncebft,0.025,160.0,320.0,latency,6720.1302428868785
,64.0,4.0,psyncebft,0.025,320.0,640.0,latency,6825.185952090719
,64.0,4.0,psyncebft,0.025,480.0,960.0,latency,8144.456941341142
,64.0,4.0,psyncebft,0.025,640.0,1280.0,latency,12239.541245658495

,64.0,4.0,hotstuff,0.025,40.0,80.0,latency,5344.23
,64.0,4.0,hotstuff,0.025,80.0,160.0,latency,5786.79
,64.0,4.0,hotstuff,0.025,160.0,320.0,latency,6265.88
,64.0,4.0,hotstuff,0.025,320.0,640.0,latency,9598.07
,64.0,4.0,hotstuff,0.025,480.0,960.0,latency,15732.02
,64.0,4.0,hotstuff,0.025,640.0,1280.0,latency,22078.43
